dataset,mechanism,pattern,missing_rate,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
synthetic,MAR,random,0.1,mean_pca,20,0.5634805060442734,0.5645362943046985,0.0163360143440113,0.5267908469140934,0.5829211068042223,0.4319830771878125,0.4340647805017481,0.0129315437966146,0.4037185978503319,0.4468819708090648,0.0027064161500674,0.0027035209996028,0.0001106340132815,0.0025421221743271,0.00290590577506,,"[0.5268, 0.5829]","[0.4037, 0.4469]","[0.0025, 0.0029]"
synthetic,MAR,random,0.1,mice_pca,20,0.4792086502343215,0.4823797442775245,0.0170553200427195,0.4418511406972982,0.4984279039783705,0.3565673417057996,0.3583410643534658,0.0137280372766646,0.327362699614527,0.3732560616905934,0.8645049658503012,0.8813849230000415,0.1450042226801454,0.6552769594752135,1.176098755975272,,"[0.4419, 0.4984]","[0.3274, 0.3733]","[0.6553, 1.1761]"
synthetic,MAR,random,0.1,vbpca_vb_modern,20,0.5319002409293319,0.5351983615460183,0.0200070790503034,0.4887623588100093,0.5532790964442058,0.3994211482745244,0.4015812044748765,0.0158566609304024,0.3665568266264721,0.4204099688329277,201.23433409969996,205.83591648549827,34.362950698317576,144.20288208905004,238.69840314950105,0.0294144854282331,"[0.4888, 0.5533]","[0.3666, 0.4204]","[144.2029, 238.6984]"
synthetic,MAR,random,0.3,mean_pca,20,0.6568064132976599,0.6599689069409265,0.0151377625454689,0.6288555041500468,0.6740090950612229,0.5110377783796223,0.5121102290629427,0.0122731116701584,0.4892929166058136,0.5269932067710577,0.0032031858496338,0.0032235809994745,0.0001358567057776,0.0029741354992437,0.0034201699496406,,"[0.6289, 0.6740]","[0.4893, 0.5270]","[0.0030, 0.0034]"
synthetic,MAR,random,0.3,mice_pca,20,0.4806423555134502,0.4820936581518035,0.0193483345364996,0.4423615925881106,0.505301987484289,0.3580283463475583,0.3605804031902287,0.0158981254595034,0.3263624887754207,0.381373989131968,2.4801786419504426,1.6912273550015016,1.209616133706632,1.2373038274993633,4.631863867050969,,"[0.4424, 0.5053]","[0.3264, 0.3814]","[1.2373, 4.6319]"
synthetic,MAR,random,0.3,vbpca_vb_modern,20,0.5483892468903356,0.5502399443687265,0.0228425745718354,0.5014950510474118,0.5804891949573179,0.4120981484527555,0.4143892431144151,0.0184945564249969,0.3743990324090358,0.440702075180894,164.92971754680065,175.31232021899996,22.180319450917327,129.02504634519977,188.2627674760269,0.0402784905492187,"[0.5015, 0.5805]","[0.3744, 0.4407]","[129.0250, 188.2628]"
synthetic,MAR,random,0.5,mean_pca,20,0.7678318859002468,0.765712961712714,0.0103934650304902,0.7544800134278116,0.7901678343753639,0.6015385565560305,0.6004392581614382,0.0083419118226638,0.5914568946585047,0.6206762453405776,0.0034201725506135,0.0034074210016114,0.0001218412634905,0.0031955592753547,0.0036105375753322,,"[0.7545, 0.7902]","[0.5915, 0.6207]","[0.0032, 0.0036]"
synthetic,MAR,random,0.5,mice_pca,20,0.5221470501456634,0.517712567713799,0.0148759746859658,0.5014542511921698,0.5535024300271159,0.3907789990667636,0.3862387591298517,0.0120107173578661,0.3750515094338549,0.4160916990943313,0.6647562922500583,0.6535597865004092,0.1204909874647218,0.5351937714230189,0.9330272307250194,,"[0.5015, 0.5535]","[0.3751, 0.4161]","[0.5352, 0.9330]"
synthetic,MAR,random,0.5,vbpca_vb_modern,20,0.5846701791157936,0.582276765391557,0.0182384971092792,0.5547497659100941,0.617984576638092,0.4403611699274757,0.4379167855926099,0.0143972569761699,0.4169249272639498,0.4685843754953916,115.49714120779971,121.82894638449945,18.138221264886685,90.36650604812483,134.27053285465007,0.0645487217441274,"[0.5547, 0.6180]","[0.4169, 0.4686]","[90.3665, 134.2705]"
synthetic,MCAR,block,0.1,mean_pca,20,0.6895935076219415,0.6870095190077479,0.0342659735315044,0.6330169690608453,0.7476071526412377,0.5424687061315607,0.5392383798295953,0.0252764462165969,0.5015577657075966,0.5854157704931291,0.0027659986494654,0.0027834324991999,7.620051328671265e-05,0.0026118489742202,0.0028728131990191,,"[0.6330, 0.7476]","[0.5016, 0.5854]","[0.0026, 0.0029]"
synthetic,MCAR,block,0.1,mice_pca,20,0.4839388049632568,0.4858475080879753,0.0476888019596433,0.4040407612198119,0.5609780295228612,0.3666732116964614,0.3716412873463091,0.0385118016706854,0.2944457975155792,0.417909349949488,0.2239431646499724,0.2628708859992912,0.0786576851188229,0.1120394853005108,0.3078757098502592,,"[0.4040, 0.5610]","[0.2944, 0.4179]","[0.1120, 0.3079]"
synthetic,MCAR,block,0.1,vbpca_vb_modern,20,0.5876090811378087,0.5832108915659449,0.0479824405655912,0.5089095090833925,0.6743811484748212,0.4484341981965135,0.4420312690466671,0.0388335814305822,0.3824335107658234,0.514230051088235,206.5652768061497,230.59821638,34.57165532420272,152.30869617909926,238.718559316174,0.0299840060598778,"[0.5089, 0.6744]","[0.3824, 0.5142]","[152.3087, 238.7186]"
synthetic,MCAR,block,0.3,mean_pca,20,3.9982962560269257,3.843800708868125,0.5264103068889854,3.2486194057366413,5.061472952376545,3.131001965155579,3.004098367086008,0.437228411088498,2.495384811362148,4.0153669745875655,0.0026179633502578,0.0026098284997715,9.547569583924784e-05,0.0024140833250384,0.0027348566004093,,"[3.2486, 5.0615]","[2.4954, 4.0154]","[0.0024, 0.0027]"
synthetic,MCAR,block,0.3,mice_pca,20,3.9982962560269257,3.843800708868125,0.5264103068889854,3.2486194057366413,5.061472952376545,3.131001965155579,3.004098367086008,0.437228411088498,2.495384811362148,4.0153669745875655,0.0166431997002291,0.0169291689999226,0.0008393057992512,0.014967989024717,0.0175222718005442,,"[3.2486, 5.0615]","[2.4954, 4.0154]","[0.0150, 0.0175]"
