dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0641512039400481,0.0644793324814703,0.0143367009896707,0.0437313026624886,0.0913534525090839,0.0,1.0,"[0.0437, 0.0914]"
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0373995857601945,0.031087767831702,0.0365151641339605,-0.0123335071907158,0.1201660448970646,0.1,0.9,"[-0.0123, 0.1202]"
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-17.000239270799284,-17.524746351498834,3.002024224513474,-20.074670713571777,-13.463988884324229,1.0,0.0,"[-20.0747, -13.4640]"
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-16.558391129448864,-17.013892620998377,2.992545825858896,-19.64795350377235,-13.042598376248224,1.0,0.0,"[-19.6480, -13.0426]"
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0681291896336865,0.0671546345455765,0.0081921730589462,0.0568719266347029,0.0841780471228594,0.0,1.0,"[0.0569, 0.0842]"
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.0131117835573967,0.0147618755420358,0.0114805970519896,-0.0064810955214206,0.0299063098505886,0.2,0.8,"[-0.0065, 0.0299]"
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0629405678813295,0.0627598228053132,0.008407507855421,0.0517382485142272,0.0805585873250289,0.0,1.0,"[0.0517, 0.0806]"
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0379282189873922,0.0387572665034008,0.0194307208847115,0.0030116774883763,0.0708302279659363,0.05,0.95,"[0.0030, 0.0708]"
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-13.378521868998906,-13.77853808349937,2.448925891111809,-15.918974757099296,-10.564969310147898,1.0,0.0,"[-15.9190, -10.5650]"
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-13.26077795139954,-13.506481993999842,2.462013008202073,-15.84817599540029,-10.380348842646526,1.0,0.0,"[-15.8482, -10.3803]"
