dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
diabetes,MAR,random,0.1,5,1000x50,mice_pca,200,0.7317652252877451,0.7329472895574957,0.03319941855519414,0.6711079699165083,0.7918007655019706,0.5264166832883155,0.525928568382617,0.024420217148783487,0.4822545251756405,0.5744110573416954,0.3538763639648096,0.34408846750011435,0.07629011021751567,0.22687541422601498,0.5086260741793013,,,,,
diabetes,MAR,random,0.1,5,1000x50,vbpca_vb_modern,200,0.777202950045588,0.7782050774653045,0.032082594331747524,0.7194091960893052,0.8342644360266372,0.5860878486027672,0.586525475437708,0.025048738530679668,0.538431931323719,0.6315401035062304,25.39905950350996,28.656431847997737,4.272572953733792,19.50782037217577,30.211467780548446,0.14338273980054228,0.1433890343427533,0.0018910834529104034,0.1392301877226899,0.146823745461999
diabetes,MAR,random,0.3,5,1000x50,mean_pca,200,0.90756229800755,0.9091543109932609,0.02610933462506674,0.8599800119175446,0.9531182290739774,0.7200966233251234,0.7206409859716472,0.019565428427340006,0.6819836777679978,0.7560504204880163,0.0015498785550516437,0.0015559280000161,7.04929125650908e-05,0.0014133426495390449,0.001647258372577165,,,,,
diabetes,MAR,random,0.3,5,1000x50,mice_pca,200,0.8323176704534481,0.8257451499638166,0.04278517393221348,0.7713546929765,0.9483785461709252,0.6100734405928221,0.6078216046573663,0.023621925575421174,0.5755731083902549,0.6680556634773501,0.46575407701991933,0.4756351540017931,0.07918592022002416,0.29189552290026766,0.5699184006032738,,,,,
diabetes,MAR,random,0.3,5,1000x50,vbpca_vb_modern,200,0.8249772761718345,0.8252212197669013,0.02147946261892673,0.7816774593351065,0.8651241662425643,0.6322562977850467,0.6320958718014448,0.016500772802725765,0.5985864523651411,0.6626796712247762,21.137476282239913,23.826983717000985,3.7303614440559785,16.04258519477753,25.403310217498436,0.2000131040328832,0.20011482433937156,0.003587263096345831,0.19336549925358948,0.20683244438921752
diabetes,MAR,random,0.5,5,1000x50,mean_pca,200,0.9743833339803959,0.9741624239791978,0.029991916981158315,0.9188755480062322,1.034932104985182,0.7764392847758513,0.7763558474533848,0.021433520639165007,0.7401407830199411,0.8201043574436617,0.0015613958251923985,0.0015693535024183499,5.657199101059373e-05,0.00144601024494472,0.0016459935206512024,,,,,
diabetes,MAR,random,0.5,5,1000x50,mice_pca,200,0.9517780174242424,0.9511902217459396,0.033507077758476375,0.8884729990123084,1.0172527383914929,0.7210647453821086,0.721380461313027,0.023421247054372728,0.676813417587791,0.7640321196311057,0.43599988490499525,0.4643536574985774,0.10622794578435704,0.1281491144251049,0.5414682665752479,,,,,
diabetes,MAR,random,0.5,5,1000x50,vbpca_vb_modern,200,0.8904529754442734,0.8914125554604224,0.026390938914068254,0.8397579571852939,0.940924117944057,0.6909788227761509,0.6907075595918042,0.019256448010824483,0.6543137163071572,0.72999334351028,16.670979730014913,18.859224627500225,2.8348480396839557,12.607220128281005,19.815227362149745,0.29478630617492024,0.2947249382903552,0.005935011302160822,0.2830355343164739,0.30596115233622434
diabetes,MCAR,block,0.1,5,1000x50,mean_pca,200,0.8245379409647131,0.8227976958210592,0.08646313300286608,0.6552890196766779,0.9854983759659537,0.6617493223256067,0.6565559551487462,0.08709098538372341,0.5104698769093661,0.8369031916952279,0.0015075920195521974,0.00152711000191625,8.970384593337058e-05,0.00120839217161117,0.0016164269765795174,,,,,
diabetes,MCAR,block,0.1,5,1000x50,mice_pca,200,0.6818090573454936,0.6823796279515358,0.17450029893396116,0.3274949231654106,0.997460811542968,0.506222627563907,0.4859580659640873,0.15860509531957726,0.23764970082190393,0.8132262116175888,0.012024139344866805,0.00913870500153275,0.010271714643852568,0.006047419997776105,0.05678548855521509,,,,,
