method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
mice_pca,0.06640071987518213,0.05175946911426522,0.7521549390003202,,True,5.0,False,24,24,synthetic,MCAR,random,0.1,5,1000x50,18,166009390,1563890638,551657761,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06468156486114635,0.05011782915937354,1266.7938069179945,0.0009477110587141473,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,18,166009390,1563890638,551657761,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6280659862367756,0.46492785010684556,0.003504236003209371,,,,,22,22,synthetic,MCAR,random,0.1,5,1000x50,19,1972679534,364416294,1343324047,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.06476113911677034,0.050700295913084135,0.751758232996508,,True,5.0,False,22,22,synthetic,MCAR,random,0.1,5,1000x50,19,1972679534,364416294,1343324047,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06210083127716233,0.04866565956689474,1113.1791719879984,0.0008627680747667621,,,,22,22,synthetic,MCAR,random,0.1,5,1000x50,19,1972679534,364416294,1343324047,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.7049274184215787,0.5462839294011076,0.003929746999347117,,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07570625531550193,0.05874541417147308,1.2659257040068042,,True,8.0,False,22,22,synthetic,MCAR,random,0.3,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06885094833968365,0.053843411041296946,780.627541460999,0.0013133490399260229,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,0,1106683805,1969505726,1326696624,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7382703688690473,0.5725101694025687,0.003796390003117267,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,1,1856908173,996800583,468458252,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.08325983798320984,0.061776596627736276,1.7881171179978992,,True,12.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,1,1856908173,996800583,468458252,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07465803339141047,0.055669793115744715,945.4297122700009,0.001576969576999166,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,1,1856908173,996800583,468458252,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7282206231673259,0.5634844259300027,0.003746529997442849,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,2,406430445,1859994493,436386690,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07657674418935602,0.05958081597864706,1.1662099489985849,,True,8.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,2,406430445,1859994493,436386690,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06926318259500397,0.05425748782367484,957.2962818360029,0.001291477093178765,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,2,406430445,1859994493,436386690,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.755419086337588,0.5917652007176742,0.003232192000723444,,,,,25,25,synthetic,MCAR,random,0.3,5,1000x50,3,1569277833,1132670987,596711166,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.0824233331710862,0.06415273457490789,0.9439999820024241,,True,8.0,False,25,25,synthetic,MCAR,random,0.3,5,1000x50,3,1569277833,1132670987,596711166,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07356009342671514,0.057528472958847686,743.477969874999,0.0015651305371548426,,,,25,25,synthetic,MCAR,random,0.3,5,1000x50,3,1569277833,1132670987,596711166,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7117482684296772,0.5521614711623025,0.003855768998619169,,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,4,881793131,1711637996,972706137,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07927435731954616,0.060756045583667366,1.0201908160015591,,True,7.0,False,22,22,synthetic,MCAR,random,0.3,5,1000x50,4,881793131,1711637996,972706137,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07063612477324765,0.054960767109660635,764.9083017029989,0.0014005877947577147,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,4,881793131,1711637996,972706137,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7141040170501953,0.5601425167996626,0.003498035999655258,,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,5,1858049479,2031390834,643037983,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.08257283228501061,0.06132234676590427,0.9160114589976729,,True,8.0,False,22,22,synthetic,MCAR,random,0.3,5,1000x50,5,1858049479,2031390834,643037983,1000,50,15000,zscore_observed_only,True,True
