dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.050017097198474574,-0.0498031106730881,0.003846669848179333,-0.05863711906814355,-0.043726165394474804,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.1593784902296169,0.1585326972692731,0.011824782011388417,0.13718205383885684,0.183253820334893,0.0,1.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.06598529342717942,-0.06554135859517252,0.005029437752329327,-0.07742753262260486,-0.05689975421623216,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-189.52450351972468,-212.0197590655007,31.5517186259752,-225.45587935485128,-144.71471605089627,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-186.96649972891993,-208.5190145805027,31.339715166079436,-223.14652487074818,-141.64282096709377,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.2236998120420788,0.22328535097333232,0.014466103234192774,0.1971702436136153,0.2513219184925857,0.0,1.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.03418509574793688,-0.03352445065814147,0.008456436686440893,-0.05128859980489683,-0.01944594086509868,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.25563791194943486,0.25491845420401144,0.020002614342320046,0.21815981332422396,0.29459397153482914,0.0,1.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.04747727039373486,-0.04662080641431551,0.011446822014329538,-0.07091282337186347,-0.027031686172066947,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-138.4891103600698,-155.88624569949752,22.487822683510213,-163.8459354118786,-106.85258012342783,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-137.84656225081014,-155.19069941700218,22.447388987216875,-163.10524343740616,-106.24325031012577,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.14224457683222475,0.1413141010782664,0.021985742653639943,0.10171152167409636,0.18374635501629258,0.0,1.0
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.05962690196816978,-0.05375134317511046,0.02211302627407624,-0.11806014539798657,-0.03213073414948691,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.15176174794837707,0.15075934447499192,0.0270804173175634,0.1052299363082986,0.2085979491500613,0.0,1.0
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.07836129605108338,-0.0710597522608846,0.028235064343766044,-0.15669366626673464,-0.04503462657589315,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-240.07457546886,-265.8132723500021,37.36837040466043,-281.03337643582364,-184.68050389572028,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-239.86551118463964,-265.35232196200013,37.3624408753052,-280.7771069742236,-184.43852045847115,1.0,0.0
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-1.3322676295501878e-17,0.0,1.935995953272571e-16,-4.440892098500626e-16,4.440892098500626e-16,0.045,0.03
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-1.3322676295501878e-17,0.0,1.935995953272571e-16,-4.440892098500626e-16,4.440892098500626e-16,0.045,0.03
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-6.661338147750939e-18,0.0,1.133084742444305e-16,0.0,0.0,0.015,0.005
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-6.661338147750939e-18,0.0,1.133084742444305e-16,0.0,0.0,0.015,0.005
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-204.03345884148493,-229.0221517760001,33.001387600139616,-240.0423037137005,-158.01283350367893,1.0,0.0
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-204.0200387460699,-229.00798708549883,33.00089300427436,-240.0283734665257,-157.9999174570532,1.0,0.0
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-3.4515405066715134e-06,0.0,4.8812153956181137e-05,-1.1102230246251329e-17,0.0,0.025,0.02
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-3.4515405066715134e-06,0.0,4.8812153956181137e-05,-1.1102230246251329e-17,0.0,0.025,0.02
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-3.1953373744864065e-06,0.0,4.518889451356313e-05,0.0,0.0,0.01,0.01
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-3.1953373744864065e-06,0.0,4.518889451356313e-05,0.0,0.0,0.01,0.01
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-204.10505698722483,-225.8743127664966,31.70296174571502,-240.4882121000208,-157.5418231667216,1.0,0.0
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-204.09156070572018,-225.859550626501,31.702499074787525,-240.4744613358236,-157.5295199262784,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.049330442950336624,0.04936005850980524,0.005197655586992042,0.039828615416534964,0.05867875796269939,0.0,1.0
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.03751726825941722,-0.03737118708104664,0.002783688447031401,-0.043965077334733635,-0.032419119000606574,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.045754407397596265,0.04572764781456534,0.005296663045421103,0.03545065815137458,0.056037351317513424,0.0,1.0
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.048904222885645054,-0.04886446796669683,0.0032057728030996805,-0.055770680936084505,-0.04255813694256821,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-260.421165839705,-261.8474552924981,15.812871788140008,-288.67090842192437,-230.90130552465124,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-259.6293495681051,-261.1510215370017,15.815893657076867,-287.9975874717755,-230.02154623464838,1.0,0.0
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.12472282538449363,0.12416984483249252,0.008642505197258357,0.10942791996545995,0.14116257490799647,0.0,1.0
synthetic,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.04560168136719568,-0.04544028075457332,0.003049245662937833,-0.05150131663532857,-0.039392604385769005,1.0,0.0
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.1318028302732353,0.13045109924495935,0.010114011317998748,0.11384161407915326,0.15259257670947635,0.0,1.0
