dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
synthetic,MAR,random,0.1,5,1000x50,vbpca_vb_modern,20,0.5319002409293319,0.5351983615460183,0.020007079050303488,0.48876235881000935,0.5532790964442058,0.3994211482745244,0.40158120447487655,0.015856660930402448,0.3665568266264721,0.4204099688329277,201.23433409969994,205.83591648549827,34.362950698317576,144.20288208905004,238.69840314950102,0.029414485428233116,0.029320621895683248,0.0018748085549810509,0.025484864008969283,0.03248203455056915
synthetic,MAR,random,0.3,5,1000x50,mean_pca,20,0.6568064132976599,0.6599689069409265,0.015137762545468942,0.6288555041500468,0.6740090950612229,0.5110377783796223,0.5121102290629427,0.01227311167015847,0.4892929166058136,0.5269932067710577,0.003203185849633835,0.0032235809994745,0.00013585670577768687,0.0029741354992437728,0.0034201699496406576,,,,,
synthetic,MAR,random,0.3,5,1000x50,mice_pca,20,0.48064235551345025,0.4820936581518035,0.019348334536499645,0.44236159258811064,0.505301987484289,0.35802834634755837,0.36058040319022877,0.015898125459503483,0.3263624887754207,0.38137398913196807,2.4801786419504426,1.6912273550015016,1.209616133706632,1.2373038274993633,4.631863867050969,,,,,
synthetic,MAR,random,0.3,5,1000x50,vbpca_vb_modern,20,0.5483892468903356,0.5502399443687265,0.022842574571835403,0.5014950510474118,0.5804891949573179,0.41209814845275555,0.4143892431144151,0.01849455642499698,0.3743990324090358,0.440702075180894,164.92971754680065,175.31232021899996,22.180319450917327,129.02504634519977,188.2627674760269,0.04027849054921871,0.04075452947617275,0.003049773658356313,0.034161917972467794,0.044067423689707334
synthetic,MAR,random,0.5,5,1000x50,mean_pca,20,0.7678318859002468,0.765712961712714,0.010393465030490292,0.7544800134278116,0.7901678343753639,0.6015385565560305,0.6004392581614382,0.008341911822663818,0.5914568946585047,0.6206762453405776,0.0034201725506135946,0.00340742100161145,0.00012184126349053771,0.003195559275354715,0.0036105375753322224,,,,,
synthetic,MAR,random,0.5,5,1000x50,mice_pca,20,0.5221470501456634,0.517712567713799,0.014875974685965847,0.5014542511921698,0.5535024300271159,0.3907789990667636,0.3862387591298517,0.012010717357866185,0.37505150943385496,0.4160916990943313,0.6647562922500583,0.6535597865004092,0.12049098746472184,0.5351937714230189,0.9330272307250194,,,,,
synthetic,MAR,random,0.5,5,1000x50,vbpca_vb_modern,20,0.5846701791157936,0.582276765391557,0.018238497109279262,0.5547497659100941,0.617984576638092,0.44036116992747576,0.43791678559260994,0.014397256976169948,0.41692492726394986,0.4685843754953916,115.49714120779973,121.82894638449943,18.138221264886685,90.36650604812485,134.27053285465007,0.06454872174412749,0.0639613197462429,0.004326445739586279,0.05852726344431332,0.074002360452466
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,20,0.6895935076219415,0.6870095190077479,0.034265973531504415,0.6330169690608453,0.7476071526412377,0.5424687061315607,0.5392383798295953,0.025276446216596988,0.5015577657075966,0.5854157704931291,0.0027659986494654202,0.0027834324991999502,7.620051328671265e-05,0.002611848974220215,0.0028728131990191502,,,,,
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,20,0.4839388049632568,0.4858475080879753,0.047688801959643326,0.4040407612198119,0.5609780295228612,0.3666732116964614,0.37164128734630913,0.038511801670685464,0.29444579751557926,0.417909349949488,0.22394316464997246,0.2628708859992912,0.07865768511882291,0.11203948530051087,0.30787570985025925,,,,,
synthetic,MCAR,block,0.1,5,1000x50,vbpca_vb_modern,20,0.5876090811378087,0.5832108915659449,0.04798244056559124,0.5089095090833925,0.6743811484748212,0.4484341981965135,0.4420312690466671,0.0388335814305822,0.38243351076582344,0.514230051088235,206.5652768061497,230.59821637999997,34.571655324202716,152.30869617909926,238.71855931617398,0.02998400605987787,0.030230626327097852,0.00236697503573695,0.025885944969880344,0.03395792408107563
