dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods,trace_k,trace_rms,trace_prms,trace_cost
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,5,0.44898595611299574,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,6,0.33575811914421494,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,7,0.21961600179254723,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,8,0.06003099448044115,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,9,0.05657648999483851,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,10,0.054762538518370193,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,11,0.05313957951900513,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,12,0.05165251363390474,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,13,0.05020781254276048,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,14,0.048876428319929464,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,15,0.047659506407915865,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,16,0.04653229379597779,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,17,0.045349230379123966,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,18,0.044268591763296984,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,19,0.04334976296520991,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,20,0.04238908007900001,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,21,0.04148967310878594,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,22,0.040631745543058324,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,23,0.040031763219055085,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,24,0.03955517040415153,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,25,0.03970791752661404,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,1,0.8965886555155036,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,2,0.7978765887878813,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,3,0.6919769447809966,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,4,0.5868026999272747,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,5,0.4909030859820586,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,6,0.39133099495037305,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,7,0.2698085916994754,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,8,0.057201306588928746,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,9,0.055362446765442726,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,10,0.05386695985072278,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,11,0.052584033022165313,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,12,0.051533631830425614,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,13,0.05043622490795727,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,14,0.04949130750379634,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,15,0.048499226566388845,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,16,0.04763868132249896,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,17,0.04680957457636095,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,18,0.04594226036273355,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,19,0.045103142905556795,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,20,0.04428167876335973,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,21,0.0434833316801819,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,22,0.042781397452268624,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,23,0.042614824952776485,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,24,0.041873121775254166,,
synthetic,MCAR,random,0.1,5,1000x50,5,593938996,1693852805,1760409515,1000,50,5000,zscore_observed_only,True,True,25,0.04213307963102792,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,1,0.8770181441377204,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,2,0.7699828452265833,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,3,0.6645547333465103,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,4,0.5565821439825785,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,5,0.44063805528713224,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,6,0.30970883435190605,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,7,0.19298023358399716,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,8,0.05459863619371825,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,9,0.052431776292696894,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,10,0.05060222288641684,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,11,0.04879155966985266,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,12,0.047368015159145946,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,13,0.0461858651474645,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,14,0.04494180374185795,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,15,0.043901507157949236,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,16,0.04298264436373796,,
