method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mice_pca,0.44359797191098127,0.3327706619196331,1.465070227999604,,True,12.0,False,synthetic,MAR,random,0.3,5,1000x50,1,1642746920,1984971981,372871098,1000,50,15000
vbpca_vb_modern,0.5060976386431355,0.3826771375404043,21.02824105900072,0.03598529395757937,,,,synthetic,MAR,random,0.3,5,1000x50,1,1642746920,1984971981,372871098,1000,50,15000
mean_pca,0.6589662957079445,0.5116707279116017,0.002511039998353226,,,,,synthetic,MAR,random,0.3,5,1000x50,2,1448038571,671608880,944998020,1000,50,15000
mice_pca,0.49308670560328477,0.36851360217571705,1.5039895699992485,,True,12.0,False,synthetic,MAR,random,0.3,5,1000x50,2,1448038571,671608880,944998020,1000,50,15000
vbpca_vb_modern,0.5602401502685751,0.4178289894130496,20.607179703998554,0.04213726090918171,,,,synthetic,MAR,random,0.3,5,1000x50,2,1448038571,671608880,944998020,1000,50,15000
mean_pca,0.6359987260848053,0.49771110255331874,0.002413940999758779,,,,,synthetic,MAR,random,0.3,5,1000x50,3,31083701,1551035837,69904718,1000,50,15000
mice_pca,0.4574110543425014,0.3428127789924773,1.4777357059992937,,True,14.0,False,synthetic,MAR,random,0.3,5,1000x50,3,31083701,1551035837,69904718,1000,50,15000
vbpca_vb_modern,0.5213336243211925,0.392948437124352,30.293186238999624,0.03629159009860593,,,,synthetic,MAR,random,0.3,5,1000x50,3,31083701,1551035837,69904718,1000,50,15000
mean_pca,0.7847117185047064,0.6150149771618328,0.002703936999751022,,,,,synthetic,MAR,random,0.5,5,1000x50,0,803059054,1066659082,1436707478,1000,50,25000
mice_pca,0.5393140793887385,0.4098897552180838,0.5323495240008924,,True,5.0,False,synthetic,MAR,random,0.5,5,1000x50,0,803059054,1066659082,1436707478,1000,50,25000
vbpca_vb_modern,0.5895888435133813,0.450217289694864,17.500469802000225,0.0670430520329426,,,,synthetic,MAR,random,0.5,5,1000x50,0,803059054,1066659082,1436707478,1000,50,25000
mean_pca,0.7679883580543445,0.6002527621872416,0.0026607549989421386,,,,,synthetic,MAR,random,0.5,5,1000x50,1,1005693509,1801464637,274212879,1000,50,25000
mice_pca,0.5198213397916394,0.3873599756076104,0.5462627859997156,,True,5.0,False,synthetic,MAR,random,0.5,5,1000x50,1,1005693509,1801464637,274212879,1000,50,25000
vbpca_vb_modern,0.5651289314083768,0.4248374322470336,20.696250402999794,0.06120024246395643,,,,synthetic,MAR,random,0.5,5,1000x50,1,1005693509,1801464637,274212879,1000,50,25000
mean_pca,0.7774673653756854,0.6107729638816572,0.0028208919993630843,,,,,synthetic,MAR,random,0.5,5,1000x50,2,563165443,553111267,815560736,1000,50,25000
mice_pca,0.5392000849615576,0.40522486798226864,0.49702427400006854,,True,5.0,False,synthetic,MAR,random,0.5,5,1000x50,2,563165443,553111267,815560736,1000,50,25000
vbpca_vb_modern,0.5940930007936137,0.44897650228133795,18.443466179000097,0.06972037895216585,,,,synthetic,MAR,random,0.5,5,1000x50,2,563165443,553111267,815560736,1000,50,25000
mean_pca,0.7574327560878623,0.5948697269628184,0.002726911001445842,,,,,synthetic,MAR,random,0.5,5,1000x50,3,6831379,921954850,818336756,1000,50,25000
mice_pca,0.5100427063381184,0.3892008888609777,0.5462058029988839,,True,5.0,False,synthetic,MAR,random,0.5,5,1000x50,3,6831379,921954850,818336756,1000,50,25000
vbpca_vb_modern,0.5572345213822755,0.42591734591871855,19.301369812999837,0.06209722666701349,,,,synthetic,MAR,random,0.5,5,1000x50,3,6831379,921954850,818336756,1000,50,25000
mean_pca,0.7291480836487553,0.5725496038122284,0.0020848719996138243,,,,,synthetic,MAR,block,0.1,5,1000x50,0,1257204109,1236678030,603990709,1000,50,5000
mice_pca,0.5286061532764011,0.403300953202689,0.09829074700064666,,True,4.0,False,synthetic,MAR,block,0.1,5,1000x50,0,1257204109,1236678030,603990709,1000,50,5000
vbpca_vb_modern,0.6257125229751539,0.4791188803457434,25.822618034999323,0.02719630962733538,,,,synthetic,MAR,block,0.1,5,1000x50,0,1257204109,1236678030,603990709,1000,50,5000
mean_pca,0.6701823918358994,0.5299925093300739,0.0022862729983899044,,,,,synthetic,MAR,block,0.1,5,1000x50,1,917617123,1080484779,1793368634,1000,50,5000
mice_pca,0.3730683418137668,0.28217612688488086,0.32072973100002855,,True,11.0,False,synthetic,MAR,block,0.1,5,1000x50,1,917617123,1080484779,1793368634,1000,50,5000
vbpca_vb_modern,0.4627640148677166,0.35438081640884,38.1180551940015,0.03174725626832083,,,,synthetic,MAR,block,0.1,5,1000x50,1,917617123,1080484779,1793368634,1000,50,5000
mean_pca,0.7278334176664446,0.5738716901733095,0.002004596000915626,,,,,synthetic,MAR,block,0.1,5,1000x50,2,165097156,1323904880,172157002,1000,50,5000
mice_pca,0.5207838786693872,0.3902015058765311,0.11680502799936221,,True,4.0,False,synthetic,MAR,block,0.1,5,1000x50,2,165097156,1323904880,172157002,1000,50,5000
vbpca_vb_modern,0.6151738761396089,0.4797961199128196,37.984633843001575,0.03290226162143301,,,,synthetic,MAR,block,0.1,5,1000x50,2,165097156,1323904880,172157002,1000,50,5000
mean_pca,0.6853448297583757,0.5406759046497744,0.002214652999100508,,,,,synthetic,MAR,block,0.1,5,1000x50,3,571410849,953565535,1741656721,1000,50,5000
mice_pca,0.4739833694684891,0.3544987387461915,0.105590270999528,,True,4.0,False,synthetic,MAR,block,0.1,5,1000x50,3,571410849,953565535,1741656721,1000,50,5000
vbpca_vb_modern,0.5536601654410483,0.4203804223334422,39.14884353100024,0.02994819034733986,,,,synthetic,MAR,block,0.1,5,1000x50,3,571410849,953565535,1741656721,1000,50,5000
mean_pca,1.369720821367841,1.1112531742956238,0.001982947000215063,,,,,synthetic,MAR,block,0.3,5,1000x50,0,723223800,1072639628,1243123087,1000,50,11988
mice_pca,1.3697208213678447,1.1112531742956266,0.012247437000041828,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,0,723223800,1072639628,1243123087,1000,50,11988
vbpca_vb_modern,1.036277004796082,0.8202496548030439,21.422174889001326,69.92812727902954,,,,synthetic,MAR,block,0.3,5,1000x50,0,723223800,1072639628,1243123087,1000,50,11988
mean_pca,1.7257172169853323,1.4337912611286698,0.0019207320001441985,,,,,synthetic,MAR,block,0.3,5,1000x50,1,1629532755,849927323,1215667055,1000,50,11988
mice_pca,1.7257172169853383,1.4337912611286756,0.013154833999578841,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,1,1629532755,849927323,1215667055,1000,50,11988
vbpca_vb_modern,1.0226040229119298,0.802467578630365,22.92623840700071,68.57188688414358,,,,synthetic,MAR,block,0.3,5,1000x50,1,1629532755,849927323,1215667055,1000,50,11988
mean_pca,1.425577775187809,1.147153200350936,0.0019176549994881498,,,,,synthetic,MAR,block,0.3,5,1000x50,2,1801403296,939396022,2014090198,1000,50,11988
mice_pca,1.4255777751878074,1.1471532003509342,0.012143808999098837,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,2,1801403296,939396022,2014090198,1000,50,11988
vbpca_vb_modern,0.9284058675161552,0.7369860453975081,21.389812831999734,67.58857841090953,,,,synthetic,MAR,block,0.3,5,1000x50,2,1801403296,939396022,2014090198,1000,50,11988
mean_pca,1.462997680149529,1.1618886854190498,0.002011034001043299,,,,,synthetic,MAR,block,0.3,5,1000x50,3,850735190,929911029,47749916,1000,50,11988
mice_pca,1.4629976801495403,1.161888685419057,0.012871974000518094,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,3,850735190,929911029,47749916,1000,50,11988
vbpca_vb_modern,1.1275485443117197,0.8403383062838633,22.21894138300013,67.50993724429478,,,,synthetic,MAR,block,0.3,5,1000x50,3,850735190,929911029,47749916,1000,50,11988
mean_pca,1.6449909262890503,1.311869546875851,0.0019458070000837324,,,,,synthetic,MAR,block,0.5,5,1000x50,0,1145088216,1007923142,891377204,1000,50,11988
mice_pca,1.6449909262890452,1.3118695468758474,0.012410280000040075,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,0,1145088216,1007923142,891377204,1000,50,11988
vbpca_vb_modern,0.9970835802671002,0.7920151445829563,21.621231299999636,69.12485668884364,,,,synthetic,MAR,block,0.5,5,1000x50,0,1145088216,1007923142,891377204,1000,50,11988
mean_pca,1.3719731799439567,1.0954931522688407,0.001983860998734599,,,,,synthetic,MAR,block,0.5,5,1000x50,1,1339081471,1176425484,2031763099,1000,50,11988
mice_pca,1.3719731799439507,1.0954931522688363,0.011847857998873224,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,1,1339081471,1176425484,2031763099,1000,50,11988
vbpca_vb_modern,1.0106205597200657,0.8065333481348621,21.44546862000061,68.37762222441222,,,,synthetic,MAR,block,0.5,5,1000x50,1,1339081471,1176425484,2031763099,1000,50,11988
mean_pca,1.4568056620926577,1.19320098269302,0.002078227000311017,,,,,synthetic,MAR,block,0.5,5,1000x50,2,873253819,934855638,1744060416,1000,50,11988
mice_pca,1.4568056620926573,1.1932009826930199,0.013042435000897967,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,2,873253819,934855638,1744060416,1000,50,11988
vbpca_vb_modern,0.9803143993167245,0.7821496088305822,23.653261371000553,69.07150108163657,,,,synthetic,MAR,block,0.5,5,1000x50,2,873253819,934855638,1744060416,1000,50,11988
mean_pca,1.6408855769044894,1.3633474993621115,0.0021127250001882203,,,,,synthetic,MAR,block,0.5,5,1000x50,3,1042906971,537439779,1114791282,1000,50,11988
mice_pca,1.6408855769044814,1.3633474993621033,0.013399829000263708,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,3,1042906971,537439779,1114791282,1000,50,11988
