dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
wine,MCAR,block,0.1,5,1000x50,4,0.5313974439060485,0.49996684513112416,0.5538002082391655
wine,MCAR,block,0.1,5,1000x50,5,0.46801448246837246,0.44326782735020975,0.48852078981318126
wine,MCAR,block,0.1,5,1000x50,6,0.41413697527425425,0.39400898934859024,0.4361100163903525
wine,MCAR,block,0.3,5,1000x50,1,0.7954824492819612,0.7521019821812271,0.8348654601091835
wine,MCAR,block,0.3,5,1000x50,2,0.6627165126358502,0.6181923630751871,0.7103720656986849
wine,MCAR,block,0.3,5,1000x50,3,0.5776713283644165,0.5243584457358559,0.6232115415693402
wine,MCAR,block,0.3,5,1000x50,4,0.5089797480717945,0.4562602587965305,0.5679425543134652
wine,MCAR,block,0.3,5,1000x50,5,0.441523165743459,0.3860659713919969,0.5040060066053932
wine,MCAR,block,0.3,5,1000x50,6,0.38347903755645235,0.3443744393756353,0.44758701395074924
wine,MCAR,block,0.5,5,1000x50,1,0.7965164545303104,0.7413103958924047,0.8476381809222233
wine,MCAR,block,0.5,5,1000x50,2,0.6630099493945896,0.6109164198111042,0.711316156085487
wine,MCAR,block,0.5,5,1000x50,3,0.5777099127103787,0.5283810696694884,0.6272144915027451
wine,MCAR,block,0.5,5,1000x50,4,0.5100480366260374,0.45778006080438544,0.5690198338947815
wine,MCAR,block,0.5,5,1000x50,5,0.4419665824678916,0.38982343484629267,0.5047959506841938
wine,MCAR,block,0.5,5,1000x50,6,0.38391082176814423,0.3448968444286689,0.45113337945349263
wine,MCAR,random,0.1,5,1000x50,1,0.8022731187525041,0.796098254667654,0.8089336541314779
wine,MCAR,random,0.1,5,1000x50,2,0.674380465407085,0.6653928060147526,0.6830148727221295
wine,MCAR,random,0.1,5,1000x50,3,0.5912505557926356,0.5807301365771311,0.600427646642756
wine,MCAR,random,0.1,5,1000x50,4,0.5322078988391504,0.5181639927586311,0.5434647796595197
wine,MCAR,random,0.1,5,1000x50,5,0.4692452022524064,0.4582241369129679,0.47967250233893777
wine,MCAR,random,0.1,5,1000x50,6,0.4169345378616633,0.4037775905616677,0.42897897264228657
wine,MCAR,random,0.3,5,1000x50,1,0.7975767257820199,0.7831610058514686,0.8097636496250549
wine,MCAR,random,0.3,5,1000x50,2,0.6624807141204664,0.642428094365107,0.6822217387928142
wine,MCAR,random,0.3,5,1000x50,3,0.5739366516211792,0.5536464991563553,0.5984469681475966
wine,MCAR,random,0.3,5,1000x50,4,0.5070607553627111,0.48113996144754334,0.5313683805090403
wine,MCAR,random,0.3,5,1000x50,5,0.44178105599685763,0.4164727051139055,0.46848354495715794
wine,MCAR,random,0.3,5,1000x50,6,0.3892054064578735,0.36501776507543005,0.4155117277016727
wine,MCAR,random,0.5,5,1000x50,1,0.7894369431790065,0.7678353263729585,0.8093283818429012
wine,MCAR,random,0.5,5,1000x50,2,0.6434171369666637,0.613345125467757,0.6740404690678945
wine,MCAR,random,0.5,5,1000x50,3,0.5464626752894678,0.5142219609472569,0.5852215068003985
wine,MCAR,random,0.5,5,1000x50,4,0.4680538834379565,0.4300678027861332,0.509928852550733
wine,MCAR,random,0.5,5,1000x50,5,0.403575418696487,0.3688061262929216,0.4437196173373952
wine,MCAR,random,0.5,5,1000x50,6,0.3643258933944923,0.3262926220088194,0.40794213107174915
